SelectBlock,Type,Span,Stimulus,Answer,Letter,CorAns,demo.thisRepN,demo.thisTrialN,demo.thisN,demo.thisIndex,trial1.thisRepN,trial1.thisTrialN,trial1.thisN,trial1.thisIndex,text_4.started,text_4.stopped,text_6.started,text_6.stopped,text.started,text.stopped,key_resp_2.keys,key_resp_2.corr,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Block1.xlsx,Operation,Example,( 3 - 1 ) × 2 = 4,right,D,None,0,0,0,0,0,0,0,0,12.29333860008046,None,35.91070379992016,None,38.12967019993812,None,right,1,5.649876999901608,38.12967019993812,None,43.799445200013,None,,,,,,,,,,,,,001,2021_Oct_14_1138,OperationSpanTask,2021.2.3,60.01867781501624,
Block1.xlsx,Operation,Example,( 3 + 6 ) × 2 = 16,left,T,"['d', 't']",0,0,0,0,0,1,1,1,,,,,45.09633899992332,None,right,0,1.11552880005911,45.09633899992332,None,46.2325625999365,None,,,,,,,,,,,,,001,2021_Oct_14_1138,OperationSpanTask,2021.2.3,60.01867781501624,
Block1.xlsx,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,47.24601530004293,None,['d'],0,[0.8534532999619842],47.24601530004293,None,space,1.3470329998526722,47.712825200054795,None,,001,2021_Oct_14_1138,OperationSpanTask,2021.2.3,60.01867781501624,
